Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
6.8,11209.76199,11171.52676,12561.43117,12561.43117,82423.43009,86037.03394,10020.19225,10754.62924,38825.73418,41620.92271
6.9,11251.18565,11206.34396,12655.83725,12655.83725,82677.55399,86391.38279,10024.84517,10798.92285,38710.60073,41700.66117
7,11290.86845,11239.50156,12745.77208,12745.77208,82940.65319,86745.75788,10030.16743,10843.21973,38592.45085,41779.40291
7.1,11328.89337,11271.08091,12831.37047,12831.37047,83212.21366,87099.96368,10036.19811,10887.49546,38471.51743,41857.16037
7.2,11365.33933,11301.15952,12912.76483,12912.76483,83491.7309,87453.80845,10042.97381,10931.72606,38348.02916,41933.94587
7.3,11400.28135,11329.8113,12990.08503,12990.08503,83778.71,87807.10405,10050.52847,10975.88801,38222.21058,42009.77154
7.4,11433.79079,11357.10667,13063.45836,13063.45836,84072.66565,88159.6659,10058.89327,11019.95824,38094.2823,42084.6494
7.5,11465.93545,11383.11279,13133.00947,13133.00947,84373.12216,88511.31289,10068.09655,11063.91411,37964.46096,42158.59128
7.6,11496.77982,11407.89362,13198.86036,13198.86036,84679.61346,88861.86734,10078.1637,11107.73342,37832.95934,42231.60889
7.7,11526.38513,11431.51013,13261.13031,13261.13031,84991.68312,89211.15499,10089.11715,11151.39437,37699.98635,42303.71378
7.8,11554.80963,11454.02044,13319.93592,13319.93592,85308.88444,89559.00503,10100.97635,11194.87563,37565.74705,42374.91736
7.9,11582.10861,11475.4799,13375.39107,13375.39107,85630.78039,89905.25003,10113.75776,11238.15625,37430.44264,42445.23089
8,11608.33461,11495.94126,13427.60694,13427.60694,85956.94373,90249.72609,10127.47487,11281.21576,37294.27043,42514.6655
8.1,11633.53755,11513.70735,13476.69202,13476.69202,86286.95693,90592.27277,10142.13825,11324.0341,37157.42379,42583.23219
8.2,11657.85218,11527.03065,13522.64289,13522.64289,86620.41231,90932.55847,10157.75558,11366.56981,37020.26688,42650.94178
8.3,11681.50065,11539.81251,13565.34677,13565.34677,86956.90104,91270.07566,10174.33169,11408.75946,36883.33937,42717.80501
8.4,11704.51002,11552.08288,13604.94001,13604.94001,87296.00255,91604.70606,10191.8687,11450.58826,36746.79129,42783.83245
8.5,11726.90588,11563.87037,13641.55376,13641.55376,87637.30968,91936.33376,10210.366,11492.04172,36610.76987,42849.03454
8.6,11748.71236,11575.20223,13675.31415,13675.31415,87980.42846,92264.8454,10229.82042,11533.10568,36475.41943,42913.42161
