"Time","Shipment Rate","Desired Shipment Rate","Customer Order Rate","Inventory","Desired Inventory","Production Rate","Desired Production","WIP Inventory","Desired WIP","Inventory Coverage","Order Fulfillment Ratio","WIP Coverage","Backlog","Delivery Delay","Material Usage Rate","Desired Material Usage Rate","Desired Material Inventory","Material Inventory","Material Delivery Rate","Desired Material Delivery Rate"
"6.1","10862.3998154471","10862.3998154471","12000","39525.1954241113","41033.7647858307","10002.666896647","10447.0123666726","80939.0819235278","83576.0989333806","3.63871668283686","1","8.09175020620344","21724.7996308942","2","11747.194512667","11765.520871599","23531.041743198","20811.4103902377","13125.3365480791","13125.3365480791"
"6.2","10919.2798246747","10919.2798246747","12000","39439.2221322313","41120.8427260078","10003.8860428265","10490.413255724","81113.5346851298","83923.306045792","3.61188858289985","1","8.10820258626337","21838.5596493495","2","11872.1832614991","11895.2989360551","23790.5978721102","20949.2245937789","13315.9855752207","13315.9855752207"
"6.3","10969.4094772825","10973.315833441","12000","39347.6827540465","41206.8321919327","10005.4520030737","10534.1017277189","81300.3644069971","84272.8138217515","3.58703746409824","0.999644013148093","8.12560635761598","21946.631666882","2.00071222724735","11993.1772971951","12020.3264350962","24040.6528701923","21093.6048251511","13493.8504576168","13493.8504576168"
"6.4","11013.8914523806","11024.8453595769","12000","39251.2870066256","41291.7467895335","10007.4126141065","10577.9941702469","81499.1369364092","84623.9533619749","3.56379824300354","0.999006434390777","8.14387695192339","22049.6907191537","2.00198910752728","12109.9497756167","12140.4023830297","24280.8047660595","21243.6721411932","13658.9686954629","13658.9686954629"
"6.5","11056.2431942016","11074.1507869578","12000","39150.6391227982","41375.5999546644","10009.8153948029","10622.0200926494","81709.3906525602","84976.1607411948","3.54104359275768","0.998382937608422","8.16292683029737","22148.3015739157","2.00323936303529","12222.3473762985","12255.4051369667","24510.8102739333","21398.5740331778","13811.5232573444","13811.5232573444"
"6.6","11096.5680593669","11121.3386272478","12000","39045.9963428584","41458.404955231","10012.707151199","10666.1523153543","81930.6438507098","85329.2185228348","3.51874526736206","0.997772699068784","8.18266654696865","22242.6772544955","2.00446454574934","12330.4246638534","12365.4396514168","24730.8793028337","21557.4916212824","13952.1334921925","13952.1334921925"
"6.7","11134.9645603953","11166.5102242794","12000","38937.6102520416","41540.1748932907","10016.1336127807","10710.3643034788","82162.4156019752","85682.9144278304","3.49687778895447","0.997174975596627","8.20300714610431","22333.0204485588","2.00566605555195","12434.2416071356","12470.6137164064","24941.2274328128","21719.6625041163","14081.3961807546","14081.3961807546"
"6.8","11171.5265955283","11209.7619962596","12000","38825.7271572801","41620.9227071245","10020.1391021084","10754.6301205117","82404.2264014107","86037.0409640935","3.47541822733709","0.996589097900194","8.22386052346035","22419.5239925193","2.00684515234412","12533.8629337602","12571.037401853","25142.0748037061","21884.3779614782","14199.885822967","14199.885822967"
"6.9","11206.3436666982","11251.1856664832","12000","38710.5884079381","41700.6611732855","10024.7662465605","10798.9243889898","82655.5987845759","86391.3951119183","3.45434599895183","0.996014464509405","8.2451397620304","22502.3713329665","2.00800296709056","12629.3575354414","12666.822552661","25333.645105322","22050.9802503989","14308.1549801225","14308.1549801225"
"7","11239.5010863131","11290.8684831483","12000","38592.4306659243","41779.4029086194","10030.055729191","10843.2222574917","82916.057913464","86745.7780599339","3.43364268302979","0.995450536253087","8.26675944303569","22581.7369662966","2.00914051192144","12720.7979207046","12758.0823307267","25516.1646614534","22218.859994867","14406.7346640199","14406.7346640199"
